year,seas,index,obs,se_log
1998,7,-6,16311.445593164455,0.206917016
1999,7,-6,12351.067586722762,0.224423624
2000,7,-6,14567.316923830314,0.216833552
2001,7,-6,12226.76593365954,0.237812693
2002,7,-6,16601.307147652933,0.223575924
2003,7,-6,15371.502734508951,0.235250559
2004,7,-6,16101.314109642226,0.201429926
2005,7,-6,16314.15332671057,0.233719232
2006,7,-6,15728.65196148805,0.207725192
2007,7,-6,18104.20920789403,0.204649033
2008,7,-6,22221.15141942108,0.182237633
2009,7,-6,30519.529872581355,0.162619199
2010,7,-6,28102.691181254402,0.158237644
2011,7,-6,31765.235425323262,0.165414603
2012,7,-6,23404.413160913693,0.184185621
2013,7,-6,26349.902152467625,0.186754979
2014,7,-6,27815.074132133817,0.16135093
2015,7,-6,18036.834653191163,0.203573298
2016,7,-6,11901.490100619038,0.222649886
2017,7,-6,10352.493015022284,0.23955854
2018,7,-6,13927.859947909472,0.217041672
2019,7,-6,13425.113935129955,0.196860758
2021,7,-6,17236.373485000167,0.2033100688181818
1988,7,-7,2.7413466546314957,0.09252019346667825
1989,7,-7,3.633852007762822,0.08568211390123463
1990,7,-7,2.716462280065029,0.08036733474589307
1991,7,-7,1.8470716883753855,0.13746418087600593
1992,7,-7,2.8136945880314657,0.08420182812583842
1993,7,-7,2.2771387459778167,0.08542269282127878
1994,7,-7,2.0443884170208264,0.08205913552827995
1995,7,-7,2.2595049994268472,0.10851107001279078
1996,7,-7,2.291211564990997,0.0853462724664657
1997,7,-7,2.4682326540912216,0.07900370508188301
1998,7,-7,2.223694149311171,0.08498110669789953
1999,7,-7,1.2329141742352019,0.07094154743863561
2000,7,-7,0.958162342139343,0.07683148825617307
2001,7,-7,0.8431065583169214,0.07529747671415458
2002,7,-7,1.0660415852936163,0.06920004290817468
2003,7,-7,0.8550713605305118,0.07901767133788498
2004,7,-7,1.3102757266664509,0.07253659520513613
2005,7,-7,1.0347981665741746,0.09204284461931041
2006,7,-7,0.890366208029406,0.0883366150626929
2007,7,-7,1.0625298205166889,0.0799466632453218
2008,7,-7,1.2284210507451534,0.06581636085557017
2009,7,-7,1.2355830826200387,0.06952010540746924
2010,7,-7,1.0472499374776743,0.07224289980225315
2011,7,-7,1.345166991942481,0.07000983760840003
2012,7,-7,2.5460044574404366,0.08970342348938035
2013,7,-7,1.9203455534542886,0.09766385793645915
2014,7,-7,1.3182259601830442,0.09739826974189986
2015,7,-7,1.1895432186306867,0.0963255042269592
2016,7,-7,0.8194989956367718,0.11202817303034648
2017,7,-7,0.8657819923374458,0.10588570333169907
2018,7,-7,1.1302197273799788,0.09687207799168696
2019,7,-7,0.9516038269858169,0.09217487928255702
2020,7,-7,1.3452315786716451,0.09010443433913477
2021,7,-7,1.0778428889971776,0.0906298579255671
2022,7,-7,1.120719734060678,0.09557297152346719
