Year,Month,0_20,20_40,40_60,60_80,80plus
1979,1,4.925559521,5.418305874,5.797076225,5.513793468,5.830187321
1979,2,3.897379398,4.807277679,5.326990604,4.929546833,5.440625191
1979,3,3.83359623,4.535738468,5.104045391,4.672123432,5.207390308
1979,4,4.133135796,4.558756351,5.043456078,4.675340176,5.129545689
1979,5,4.459855556,4.599900246,5.01246357,4.699262619,5.084732533
1979,6,4.908654213,4.704329967,5.078314781,4.795806885,5.132865429
1979,7,5.163226128,4.765284061,5.099456787,4.847489357,5.144565582
1979,8,5.393853664,4.821637154,5.111611843,4.893395901,5.147432804
1979,9,5.900417328,4.917227745,5.15304327,4.975998402,5.178941727
1979,10,7.177910328,5.106297493,5.276509285,5.149166107,5.291710377
1979,11,7.349236965,5.446047783,5.444478035,5.447131634,5.432808876
1979,12,5.508992672,5.631149769,5.639690399,5.635518074,5.623167992
1980,1,4.264054775,4.7676301,5.048766613,4.829306602,5.145040035
1980,2,3.949155331,4.320884228,4.50561285,4.358444691,4.591990471
1980,3,3.804656029,4.154246807,4.409333229,4.210254669,4.496325016
1980,4,4.189386845,4.302769184,4.534697533,4.355953693,4.59616375
1980,5,4.789368153,4.595219612,4.764650822,4.636492252,4.790691376
1980,6,5.026548386,4.736553192,4.920787811,4.782757282,4.938773155
1980,7,5.231019497,4.830666542,5.027640343,4.88046217,5.043776989
1980,8,5.491221428,4.918838501,5.120409966,4.970200062,5.133778572
1980,9,5.935265541,4.997481346,5.180058002,5.044187069,5.190730095
1980,10,6.924708843,5.166247368,5.268825531,5.193249702,5.268885612
1980,11,6.678593636,5.509538174,5.447218418,5.496321678,5.422327518
1980,12,5.176373959,5.378817558,5.435837269,5.394087315,5.433846474
1981,1,4.683447361,4.93589592,5.096430302,4.974272251,5.126787663
1981,2,4.577779293,4.906741619,5.139111042,4.962955952,5.177863598
1981,3,4.389992714,4.746775627,5.033667088,4.81289053,5.107153893
1981,4,4.85392189,4.857483864,5.088812351,4.912855625,5.131999969
1981,5,5.389955044,5.06032753,5.245490551,5.107989311,5.254018784
1981,6,5.711047649,5.197968006,5.355462551,5.240090847,5.350376129
1981,7,6.126485348,5.327163696,5.451599121,5.36205864,5.434998035
1981,8,6.543616295,5.481530666,5.568103313,5.508737564,5.533718109
1981,9,6.94013834,5.552419186,5.626089573,5.575988293,5.593579769
1981,10,7.449964523,5.655925274,5.674960136,5.665300369,5.640953541
1981,11,6.701852798,5.83061552,5.736427307,5.811188698,5.694532394
1981,12,5.43783474,5.686729908,5.776072025,5.714661121,5.741724491
1982,1,4.458918571,4.892136097,5.358716965,5.009000778,5.405426025
1982,2,3.95236516,4.346114635,4.937272549,4.490345955,5.026357651
1982,3,3.470789194,3.864115,4.370620728,3.983357668,4.480740547
1982,4,3.257432461,3.726907492,4.201748371,3.840535641,4.290638924
1982,5,3.649062395,3.942089319,4.370482445,4.047273636,4.429857254
1982,6,4.000379562,4.081041336,4.519263268,4.19017458,4.568033695
1982,7,4.444804192,4.213355541,4.650183678,4.322961807,4.692403316
1982,8,4.821733952,4.323346615,4.766104698,4.435612202,4.799766541
1982,9,5.333859921,4.463304043,4.894587517,4.573680401,4.919425488
1982,10,6.170521736,4.632986546,5.019671917,4.732397079,5.038446903
1982,11,5.838857174,4.899456024,5.159047604,4.967307568,5.162961483
1982,12,5.124149323,5.177393913,5.368063927,5.229874134,5.350334167
1983,1,4.396206856,4.889834881,5.270810127,4.986524105,5.299077034
1983,2,4.173726559,4.586754799,5.089652061,4.713142395,5.136671543
1983,3,4.288675308,4.507116318,4.973410606,4.62434721,5.016675949
1983,4,4.752310276,4.638382912,5.041861057,4.741798878,5.063882351
1983,5,4.881954193,4.763868332,5.1529212,4.8645401,5.166724205
1983,6,5.107646465,4.87396431,5.251859665,4.972621918,5.25846386
1983,7,5.334527016,4.959329605,5.331353188,5.057145596,5.332466125
1983,8,5.61411953,5.043731213,5.400884628,5.138166904,5.397825241
1983,9,6.129352093,5.154036045,5.477753639,5.240147114,5.470956326
1983,10,7.139353275,5.322428703,5.566525936,5.388615131,5.551616669
1983,11,6.76761198,5.684053898,5.728771687,5.700008392,5.696188927
1983,12,5.877129555,5.76760006,5.90507555,5.808008194,5.872267246
1984,1,5.12098217,5.434041977,5.798923016,5.528245449,5.813534737
1984,2,4.162303925,4.735694885,5.354753017,4.888899326,5.431158066
1984,3,4.024782658,4.237400532,4.898733616,4.400854111,4.982017517
1984,4,4.459467888,4.479715824,5.011480808,4.615246296,5.046482563
1984,5,4.548727512,4.646792889,5.121055126,4.768744469,5.143878937
1984,6,4.729970932,4.750575542,5.227406979,4.87445879,5.240444183
1984,7,5.037194252,4.840211391,5.315713406,4.964401245,5.323633194
1984,8,5.50729847,4.928710461,5.402224541,5.052969933,5.405519962
1984,9,6.130435944,5.023309708,5.47343874,5.14163208,5.475014687
1984,10,7.137739182,5.230383396,5.57945776,5.32344389,5.570533752
1984,11,7.134281635,5.583521366,5.740496635,5.628953934,5.708542824
1984,12,5.972859383,5.809373379,5.909979343,5.841789246,5.863795757
1985,1,5.329160213,5.491383076,5.814263821,5.577231884,5.807795525
1985,2,4.489256859,4.917055607,5.337430477,5.020990849,5.390084743
1985,3,4.135281086,4.584377289,5.160823345,4.725206375,5.246231079
1985,4,3.790255785,4.423008442,5.147314548,4.601772308,5.240507126
