EM_HAUL_PK,VESSEL_ID,ORIGINAL_EM_TRIP_NUMBER,EM_TRIP_NUMBER,ODDS_TRIP_NUMBER,TRIP_START_DATE,EM_HAUL_NUMBER,RETRIEVAL_START_DATE,RETRIEVAL_END_DATE,SAMPLED_FLAG,AGENCY_GEAR_ID,AGENCY_GEAR_CODE,EM_GEAR_CODE,EM_GEAR_NAME,OBS_VESSEL_TYPE,HAUL_PURPOSE_CODE,FMP_AREA_ID,FMP_SUB_AREA_ID,FMP_SUB_AREA_CODE,REPORTING_AREA_ID,REPORTING_AREA_CODE,ADFG_STAT_AREA_ID,ADFG_STAT_AREA_CODE,CRITICAL_HABITAT_AREA_ID,CRITICAL_HABITAT_AREA_CODE,SPECIAL_AREA_ID,SPECIAL_AREA_CODE,COBLZ_FLAG,RETRIEVAL_START_LATITUDE_DD,RETRIEVAL_START_LONGITUDE_DD,RETRIEVAL_END_LATITUDE_DD,RETRIEVAL_END_LONGITUDE_DD,PROCESSING_SECTOR,HARVEST_SECTOR,TOTAL_GROUNDFISH_WEIGHT_MT,RETAINED_GROUNDFISH_WEIGHT_MT,TARGET_FISHERY_CODE,TRIP_TARGET_CODE,TRIP_TARGET_DATE,YEAR,GEAR_PERFORMANCE,GEAR_PERFORMANCE_DESCRIPTION,FILE_IMPORT_DATE,IMPORT_PROCESSED_DATE,LAST_MODIFIED_DATE_HAUL,USER_REQUESTED_COVERAGE,INHERIT_OBSERVER_COVERAGE,RANDOM_NUMBER_USED,EFFECTIVE_RATE,TRIP_TOTAL_HAULS_POTS,TRIP_SAMPLED_HAULS_POTS,CATCH_REPORT_SPECIES_FACT_PK,OBS_SPECIES_CODE,AGENCY_SPECIES_ID,AGENCY_SPECIES_CODE,SPECIES_GROUP_ID,SPECIES_GROUP_CODE,EXTRAPOLATED_WEIGHT_MT,EXTRAPOLATED_WEIGHT_KG,EXTRAPOLATED_NUMBER,PERCENT_RETAINED,LAST_MODIFIED_DATE_SPECIES,AKFIN_VDATE,OBS_VESSEL_ID,ADFG_VESSEL_ID,OBS_VESSEL_TYPE_DESC,OBS_GEAR_CODE,OBS_GEAR_DESCRIPTION,FMP_AREA,FMP_SUBAREA,OBS_SPECIES_NAME,AGENCY_SPECIES_NAME,HAUL_PURPOSE_DESCRIPTION,HAUL_TARGET_NAME,TRIP_TARGET_NAME,TOTAL_SPECIES_DEPREDATED,NUMBER_OF_POTS_IN_SAMPLED_STRING,NUMBER_OF_SAMPLED_STRINGS,NUMBER_OF_NON_SAMPLED_STRINGS,TOTAL_STRINGS_IN_TRIP,AKR_VES_LENGTH
107146,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212042,2/3/2021 2:17,2/3/2021 2:19,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.64,-163.13194,54.64,-163.13051,S,CV,0.0688677,0.0688677,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899596,202,2,110,2,PCOD,0.0688677,68.8677,11,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107080,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211976,2/2/2021 20:55,2/2/2021 20:57,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.10803,54.63,-163.10679,S,CV,0.0939105,0.0939105,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899517,202,2,110,2,PCOD,0.0939105,93.9105,15,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
100916,200,21_EVENINGSTAR06.01,2106.01,135607,5/7/2021 5:50,211463,5/8/2021 21:43,5/8/2021 23:26,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,23,610,4478,625402,0,N/A,0,N/A,N,54.33,-162.31752,54.32,-162.27301,S,CV,0.1157118,0.1095986,I,I,5/7/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:36,4/6/2022 10:36,N,Y,24.08,30,22,8,78890473,202,2,110,2,PCOD,0.1092175,109.2175,25,96,4/6/2022 10:36,10/26/2022 6:30,A217,35608,Catcher Vessel,8,LONGLINER,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,65
107039,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211935,2/2/2021 18:02,2/2/2021 18:04,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.25292,54.63,-163.25209,S,CV,0.0939105,0.087336765,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899464,202,2,110,2,PCOD,0.0939105,93.9105,15,93,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
91564,4173,21_CINDRIAGENE01.01,2101.01,134945,4/21/2021 0:52,191178,4/22/2021 21:13,4/22/2021 22:33,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,24,620,4041,545702,0,N/A,0,N/A,N,57.13,-154.80332,57.11,-154.73357,S,CV,0.1524163,0.104676864,I,I,4/21/2021 0:00,2021,1,No problems,7/27/2021 17:30,10/7/2021 9:55,10/7/2021 9:55,N,N,28.15,30,22,8,66048106,202,2,110,2,PCOD,0.1090384,109.0384,23,96,10/7/2021 9:55,10/26/2022 6:30,58183,58183,Catcher Vessel,8,LONGLINER,GOA,CG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Halibut,Halibut,0,NA,NA,NA,NA,58
107155,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212051,2/3/2021 16:07,2/3/2021 16:09,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.2553,54.63,-163.25457,S,CV,0.1439961,0.1439961,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899606,202,2,110,2,PCOD,0.1439961,143.9961,23,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107077,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,211973,2/2/2021 23:01,2/2/2021 23:03,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.62,-163.30852,54.62,-163.30758,S,CV,0.0813891,0.0813891,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899514,202,2,110,2,PCOD,0.0813891,81.3891,13,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
107113,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212009,2/3/2021 1:02,2/3/2021 1:05,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.16836,54.63,-163.16683,S,CV,0.0688677,0.0688677,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899553,202,2,110,2,PCOD,0.0688677,68.8677,11,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
100433,360,21_GOLDENCHALICE04.01,2104.01,140023,10/13/2021 10:57,205314,10/14/2021 20:12,10/14/2021 23:58,Y,5,HAL,7,FixedHookLongline,3,CA,31,31,GOA,23,610,4843,665333,0,N/A,0,N/A,N,53.81,-166.31126,53.8,-166.36633,S,CV,0.9343941,0.310598813,C,C,10/13/2021 0:00,2021,1,No problems,3/30/2022 17:30,3/31/2022 14:49,3/31/2022 14:49,N,N,18.54,30,10,3,78566991,202,2,110,2,PCOD,0.2927029,292.7029,67,97,3/31/2022 14:49,10/26/2022 6:30,59771,59771,Catcher Vessel,8,LONGLINER,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,57
107116,1760,21_MISSROXANNE01.01,2101.01,132759,2/2/2021 1:31,212012,2/3/2021 0:33,2/3/2021 0:35,Y,6,POT,11,Single Pot,3,CA,31,31,GOA,23,610,4576,635434,0,N/A,0,N/A,N,54.63,-163.20433,54.63,-163.20303,S,CV,0.0576693,0.0576693,C,C,2/2/2021 0:00,2021,1,No problems,4/5/2022 17:40,4/6/2022 10:38,4/6/2022 10:38,N,N,22.96,30,177,55,78899558,202,2,110,2,PCOD,0.0563463,56.3463,9,100,4/6/2022 10:38,10/26/2022 6:30,53446,53446,Catcher Vessel,6,POT OR TRAP,GOA,WG,PACIFIC COD,"cod, Pacific (gray)",Catch Accounting,Pacific Cod,Pacific Cod,0,NA,NA,NA,NA,53
