survey_name,fish_length,kodiak,s_penn,east_aleut,chignik,tot_fish
CRAB2022,6,0,0,0,9323,9323
CRAB2022,7,0,0,0,37291,37291
CRAB2022,8,0,0,0,27968,27968
CRAB2022,19,927,0,0,0,927
CRAB2022,21,1070,0,0,0,1070
CRAB2022,22,5802,0,0,0,5802
CRAB2022,23,1690,0,0,0,1690
CRAB2022,24,2601,0,0,0,2601
CRAB2022,25,0,0,0,9323,9323
CRAB2022,27,0,919,0,0,919
CRAB2022,28,0,3819,0,0,3819
CRAB2022,29,0,3819,0,0,3819
CRAB2022,30,17933,0,0,0,17933
CRAB2022,31,267,1909,0,0,2177
CRAB2022,32,23481,1909,6779,0,32170
CRAB2022,33,14705,5728,8362,0,28794
CRAB2022,34,1300,7104,14803,0,23207
CRAB2022,35,80665,3789,6779,0,91233
CRAB2022,36,81315,4200,43432,0,128947
CRAB2022,37,128190,1657,48249,0,178097
CRAB2022,38,108671,7624,38413,0,154708
CRAB2022,39,244751,6174,29594,0,280519
CRAB2022,40,177668,8767,15222,3544,205201
CRAB2022,41,142956,8893,17155,1650,170653
CRAB2022,42,93259,17340,24468,7963,143031
CRAB2022,43,174721,21833,24828,3299,224681
CRAB2022,44,167178,17572,19381,2550,206681
CRAB2022,45,74682,7194,15140,9337,106353
CRAB2022,46,104040,8666,22258,842,135806
CRAB2022,47,86426,18420,10701,4207,119753
CRAB2022,48,76718,24974,4005,4143,109841
CRAB2022,49,41424,13561,10701,705,66391
CRAB2022,50,45996,18390,1187,6782,72354
CRAB2022,51,23006,18052,4074,2550,47682
CRAB2022,52,15706,26047,6687,1642,50082
CRAB2022,53,18897,41036,8627,4706,73266
CRAB2022,54,27047,23463,23390,4963,78862
CRAB2022,55,28945,42293,37326,11304,119869
CRAB2022,56,24046,30444,6300,9924,70715
CRAB2022,57,32165,40534,32494,10322,115515
CRAB2022,58,32901,50089,18111,7886,108986
CRAB2022,59,35053,36879,16576,12239,100748
CRAB2022,60,45763,55567,22058,23055,146444
CRAB2022,61,76126,47356,4864,13390,141737
CRAB2022,62,76685,28979,15411,18983,140058
CRAB2022,63,58366,35895,8592,28495,131349
CRAB2022,64,90319,43169,14284,19354,167125
CRAB2022,65,65481,20077,1712,18617,105887
CRAB2022,66,43668,36218,16657,15721,112264
CRAB2022,67,80278,30842,1112,14022,126254
CRAB2022,68,45231,20975,1887,10610,78702
CRAB2022,69,40491,12975,8405,7565,69436
CRAB2022,70,42585,12094,8986,14434,78099
CRAB2022,71,34820,18379,1159,2662,57020
CRAB2022,72,25847,7110,10329,6093,49379
CRAB2022,73,32409,15133,0,3120,50662
CRAB2022,74,39519,2850,0,10583,52952
CRAB2022,75,17110,5020,0,456,22586
CRAB2022,76,20658,2737,925,2543,26863
CRAB2022,77,9013,3305,7597,0,19914
CRAB2022,78,9007,2935,3041,0,14984
CRAB2022,79,8833,368,1848,2532,13580
CRAB2022,80,1293,0,0,1105,2397
CRAB2022,81,1475,1928,700,705,4808
CRAB2022,82,2065,3038,0,1650,6752
CRAB2022,83,5606,0,0,0,5606
CRAB2022,84,10863,2491,1610,456,15420
CRAB2022,85,3342,0,0,0,3342
CRAB2022,86,8433,0,0,0,8433
CRAB2022,89,9208,1928,0,705,11841
CRAB2022,90,775,3876,0,1650,6301
CRAB2022,92,1220,5206,1848,0,8274
CRAB2022,93,5061,1657,0,0,6718
CRAB2022,95,0,949,0,0,949
CRAB2022,97,714,911,0,0,1625
