survey_name,district,section,station,haul,sq_nmi,total_weight_mt
CRAB2022,1,1,255A,28,18.78,18
CRAB2022,1,1,255B,16,18.63,21
CRAB2022,1,1,256,17,23.95,86
CRAB2022,1,1,257,18,23.95,22
CRAB2022,1,1,283A,15,19.8,73
CRAB2022,1,1,283B,23,18.67,7
CRAB2022,1,1,284,20,24.01,93
CRAB2022,1,1,285,19,24.01,19
CRAB2022,1,1,313,22,25,368
CRAB2022,1,1,314,21,24.06,93
CRAB2022,1,1,369X,8,41.64,253
CRAB2022,1,1,395,41,25,68
CRAB2022,1,1,420,42,24.28,109
CRAB2022,1,1,421,43,24.28,72
CRAB2022,1,1,443,45,24.34,29
CRAB2022,1,1,444,44,24.34,23
CRAB2022,1,1,CHA,3,1.6,4
CRAB2022,1,1,CHB,4,2.3,8
CRAB2022,1,1,CHE,2,6,12
CRAB2022,1,1,CHF,6,3.7,11
CRAB2022,1,1,CHG,9,9.55,6
CRAB2022,1,1,CHJ,1,3.3,40
CRAB2022,1,1,CHK,5,2.5,15
CRAB2022,1,1,CHL,7,4.1,26
CRAB2022,1,1,KZA,40,3.4,9
CRAB2022,1,1,KZB,39,0.8,1
CRAB2022,1,1,KZE,36,7.52,17
CRAB2022,1,1,KZF,35,5.86,57
CRAB2022,1,1,KZG,10,6.19,13
CRAB2022,1,1,KZJ,34,6.25,4
CRAB2022,1,1,KZO,31,6.25,4
CRAB2022,1,1,KZR,33,3.14,16
CRAB2022,1,1,KZS,32,0.9,3
CRAB2022,1,1,MOEX,13,10.56,2
CRAB2022,1,1,MOGX,14,19.2,18
CRAB2022,1,1,MOLB,29,13.05,7
CRAB2022,1,1,MONX,12,22,43
CRAB2022,1,1,MOPA,26,8.1,21
CRAB2022,1,1,MOXA,24,3.8,11
CRAB2022,1,2,486A,51,7.29,9
CRAB2022,1,2,486B,48,8.56,44
CRAB2022,1,2,510C,55,6.27,17
CRAB2022,1,2,510D,54,11.09,25
CRAB2022,1,2,511A,50,12.25,342
CRAB2022,1,2,511B,49,12.5,574
CRAB2022,1,2,533A,92,12.5,39
CRAB2022,1,2,534BX,56,6.07,2
CRAB2022,1,2,534DX,61,8.46,34
CRAB2022,1,2,535A,57,6.14,44
CRAB2022,1,2,535C,60,6.14,10
CRAB2022,1,2,535D,59,6.25,36
CRAB2022,1,2,559,93,25,25
CRAB2022,1,2,561,90,25,31
CRAB2022,1,2,589,91,25,18
CRAB2022,1,2,654,102,25,11
CRAB2022,1,2,KLB,71,2.7,12
CRAB2022,1,2,KLC,72,5.7,31
CRAB2022,1,2,KLD,86,5.3,3
CRAB2022,1,2,KLE,75,2.4,4
CRAB2022,1,2,KLF,74,4.4,15
CRAB2022,1,2,KLH,84,4.9,11
CRAB2022,1,2,KLI,85,6.25,61
CRAB2022,1,2,KLL,87,6.25,35
CRAB2022,1,2,UGAA,68,4.67,8
CRAB2022,1,2,UGAD,67,1.29,3
CRAB2022,1,2,UGB,69,1.7,6
CRAB2022,1,2,UGC,65,5.1,26
CRAB2022,1,2,UGD,64,3.2,2
CRAB2022,1,2,UGE,63,3.7,11
CRAB2022,1,2,UGG,46,3.2,5
CRAB2022,1,2,UGI,53,6.5,6
CRAB2022,1,3,585X,106,22.98,153
CRAB2022,1,3,615,110,29,23
CRAB2022,1,3,688,114,25,81
CRAB2022,1,3,725,149,25,194
CRAB2022,1,3,726,115,25,7
CRAB2022,1,3,759,150,25,0
CRAB2022,1,3,760,117,25,8
CRAB2022,1,3,THDX,112,8.33,16
CRAB2022,1,3,THF,82,6.5,6
CRAB2022,1,3,THG,83,5.82,12
