race_code,common_name,year,haul,haul_date,vessel,station,area_km2,district,section,start_latitude,start_longitude,avg_depth_fm,tow_distance_km,net_width_km,area_swept_km2,total_weight_kg,total_number_caught
21720,Pacific cod,2022,22010001,6/15/2022,R/V Resolution,CHJ,11.3,1,1,57.7283,-152.3803,50,1.9,0.0122,0.02258,79.41,43
21720,Pacific cod,2022,22010002,6/15/2022,R/V Resolution,CHE,20.6,1,1,57.6795,-152.4422,9,1.1,0.0122,0.01355,7.88,9
21720,Pacific cod,2022,22010003,6/15/2022,R/V Resolution,CHA,5.5,1,1,57.6185,-152.43,27,1.9,0.0122,0.02258,14.46,9
21720,Pacific cod,2022,22010004,6/15/2022,R/V Resolution,CHB,7.9,1,1,57.635,-152.4082,40,1.9,0.0122,0.02258,24,8
21720,Pacific cod,2022,22010005,6/16/2022,R/V Resolution,CHK,8.6,1,1,57.736,-152.2867,72,1.9,0.0122,0.02258,39.06,12
21720,Pacific cod,2022,22010006,6/16/2022,R/V Resolution,CHF,12.7,1,1,57.6972,-152.3145,76,1.9,0.0122,0.02258,20.34,7
21720,Pacific cod,2022,22010007,6/16/2022,R/V Resolution,CHL,14.1,1,1,57.7298,-152.2453,100,1.9,0.0122,0.02258,41.43,13
21720,Pacific cod,2022,22010008,6/16/2022,R/V Resolution,369X,142.8,1,1,57.7303,-152.0525,60,1.4,0.0122,0.01694,29.97,14
21720,Pacific cod,2022,22010009,6/16/2022,R/V Resolution,CHG,32.8,1,1,57.6835,-152.1592,76,1.9,0.0122,0.02258,3.84,4
21720,Pacific cod,2022,22010010,6/21/2022,R/V Resolution,KZG,21.2,1,1,57.9525,-152.6158,70,1.9,0.0122,0.02258,13.72,4
21720,Pacific cod,2022,22010011,6/21/2022,R/V Resolution,KZK,21.4,1,1,57.973,-152.565,92,1.9,0.0122,0.02258,0,0
21720,Pacific cod,2022,22010012,6/21/2022,R/V Resolution,MONX,75.5,1,1,58.0302,-152.4863,107,1.9,0.0122,0.02258,12.89,3
21720,Pacific cod,2022,22010013,6/21/2022,R/V Resolution,MOEX,36.2,1,1,57.9472,-152.376,65,1.9,0.0122,0.02258,1.12,1
21720,Pacific cod,2022,22010014,6/21/2022,R/V Resolution,MOGX,65.9,1,1,57.9715,-152.1638,95,1.9,0.0122,0.02258,6.28,2
21720,Pacific cod,2022,22010015,6/21/2022,R/V Resolution,283A,67.9,1,1,58.0008,-152.1222,96,1.9,0.0122,0.02258,24.21,7
21720,Pacific cod,2022,22010016,6/22/2022,R/V Resolution,255B,63.9,1,1,58.0565,-152.0012,70,1.9,0.0122,0.02258,7.25,5
21720,Pacific cod,2022,22010017,6/22/2022,R/V Resolution,256,82.1,1,1,58.069,-151.8582,75,1.9,0.0122,0.02258,23.76,11
21720,Pacific cod,2022,22010018,6/22/2022,R/V Resolution,257,82.1,1,1,58.0695,-151.7167,92,1.9,0.0122,0.02258,6.09,4
21720,Pacific cod,2022,22010019,6/22/2022,R/V Resolution,285,82.4,1,1,58.0158,-151.7053,70,1.9,0.0122,0.02258,5.08,4
21720,Pacific cod,2022,22010020,6/22/2022,R/V Resolution,284,82.4,1,1,57.9902,-151.776,69,1.9,0.0122,0.02258,25.6,13
21720,Pacific cod,2022,22010021,6/22/2022,R/V Resolution,314,82.5,1,1,57.9285,-151.824,37,1.9,0.0122,0.02258,25.46,9
21720,Pacific cod,2022,22010022,6/22/2022,R/V Resolution,313,85.7,1,1,57.9328,-151.9557,104,1.9,0.0122,0.02258,96.86,56
21720,Pacific cod,2022,22010023,6/22/2022,R/V Resolution,283B,64,1,1,57.9815,-151.9373,94,1.9,0.0122,0.02258,2.58,2
21720,Pacific cod,2022,22010024,6/23/2022,R/V Resolution,MOXA,13,1,1,58.2087,-152.2497,85,1.9,0.0122,0.02258,19.39,6
21720,Pacific cod,2022,22010025,6/23/2022,R/V Resolution,MOXB,29.5,1,1,58.157,-152.2427,93,1.9,0.0122,0.02258,0,0
21720,Pacific cod,2022,22010026,6/23/2022,R/V Resolution,MOPA,27.8,1,1,58.11,-152.2363,93,1.9,0.0122,0.02258,17.24,5
21720,Pacific cod,2022,22010027,6/23/2022,R/V Resolution,MOLA,28,1,1,58.1027,-152.1702,110,1.9,0.0122,0.02258,0,0
21720,Pacific cod,2022,22010028,6/23/2022,R/V Resolution,255A,64.4,1,1,58.068,-152.0852,82,1.9,0.0122,0.02258,6.37,3
21720,Pacific cod,2022,22010029,6/23/2022,R/V Resolution,MOLB,44.8,1,1,58.056,-152.1307,83,1.9,0.0122,0.02258,3.75,3
21720,Pacific cod,2022,22010030,6/23/2022,R/V Resolution,MOPB,19.9,1,1,58.0847,-152.2527,91,1.7,0.0122,0.02032,0,0
21720,Pacific cod,2022,22010031,6/23/2022,R/V Resolution,KZO,21.4,1,1,58.0242,-152.5008,108,1.9,0.0122,0.02258,4.1,2
21720,Pacific cod,2022,22010032,6/24/2022,R/V Resolution,KZS,3.1,1,1,58.146,-152.582,50,1.5,0.0122,0.01806,18.5,6
21720,Pacific cod,2022,22010033,6/24/2022,R/V Resolution,KZR,10.8,1,1,58.1323,-152.5865,65,1.9,0.0122,0.02258,33.74,10
21720,Pacific cod,2022,22010034,6/24/2022,R/V Resolution,KZJ,21.4,1,1,57.9922,-152.6133,71,1.9,0.0122,0.02258,4,1
21720,Pacific cod,2022,22010035,6/24/2022,R/V Resolution,KZF,20.1,1,1,57.93,-152.6983,75,1.3,0.0122,0.01581,45.14,13
21720,Pacific cod,2022,22010036,6/24/2022,R/V Resolution,KZE,25.8,1,1,57.923,-152.6687,57,1.3,0.0122,0.01581,10.32,4
21720,Pacific cod,2022,22010037,6/24/2022,R/V Resolution,KZC,12.3,1,1,57.8613,-152.7472,35,1.3,0.0122,0.01581,0,0
21720,Pacific cod,2022,22010038,6/24/2022,R/V Resolution,KZD,23.7,1,1,57.8783,-152.7967,48,1.3,0.0122,0.01581,0,0
21720,Pacific cod,2022,22010039,6/24/2022,R/V Resolution,KZB,2.7,1,1,57.8133,-152.866,28,1.1,0.0122,0.01355,3.52,1
21720,Pacific cod,2022,22010040,6/24/2022,R/V Resolution,KZA,11.7,1,1,57.7907,-152.8778,25,1.1,0.0122,0.01355,9.91,4
21720,Pacific cod,2022,22010041,6/28/2022,R/V Resolution,395,85.7,1,1,57.6632,-151.9578,112,1.9,0.0122,0.02258,17.83,10
21720,Pacific cod,2022,22010042,6/28/2022,R/V Resolution,420,83.3,1,1,57.6038,-151.788,68,1.5,0.0122,0.01806,23.72,15
21720,Pacific cod,2022,22010043,6/28/2022,R/V Resolution,421,83.3,1,1,57.585,-151.7025,66,1.5,0.0122,0.01806,15.63,10
21720,Pacific cod,2022,22010044,6/28/2022,R/V Resolution,444,83.5,1,1,57.5297,-151.705,89,1.5,0.0122,0.01806,4.87,2
21720,Pacific cod,2022,22010045,6/28/2022,R/V Resolution,443,83.5,1,1,57.528,-151.7347,80,1.4,0.0122,0.01694,5.94,2
21720,Pacific cod,2022,22010046,6/29/2022,R/V Resolution,UGG,11,1,2,57.3853,-152.5063,36,1.8,0.0122,0.0219,10.32,9
