year,delivery,adfg,vessel_name,tendered,landing_date,sample_date,port,mgmt_area,nmfs_area,gear_code,ft_number,landing_rpt,tkt_weight,spcode,sex,length,nfish
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,52,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,57,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,58,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,59,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,60,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,62,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,63,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,64,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,65,6
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,66,3
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,67,6
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,68,3
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,69,3
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,70,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,71,3
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,73,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,75,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,77,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,79,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,81,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,82,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,85,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,89,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,92,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,,95,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,52,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,61,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,62,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,64,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,65,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,66,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,68,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,70,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,71,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,73,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,74,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,76,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,80,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,82,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,85,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,1,86,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,2,57,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,2,60,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,2,61,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,2,62,2
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,2,64,1
2022,KPC22F0001,40,Polar Star,N,2022-02-26,02-25-2022,Kodiak,K,630,91,E22 721777,8274310,63325,110,2,65,1
