YEAR,INDICATOR_NAME,DATA_VALUE
1994,WIN_SPR_PCOD_SPAWN_HABITAT,0.331
1995,WIN_SPR_PCOD_SPAWN_HABITAT,0.379
1996,WIN_SPR_PCOD_SPAWN_HABITAT,0.401
1997,WIN_SPR_PCOD_SPAWN_HABITAT,0.385
1998,WIN_SPR_PCOD_SPAWN_HABITAT,0.203
1999,WIN_SPR_PCOD_SPAWN_HABITAT,0.368
2000,WIN_SPR_PCOD_SPAWN_HABITAT,0.317
2001,WIN_SPR_PCOD_SPAWN_HABITAT,0.249
2002,WIN_SPR_PCOD_SPAWN_HABITAT,0.334
2003,WIN_SPR_PCOD_SPAWN_HABITAT,0.187
2004,WIN_SPR_PCOD_SPAWN_HABITAT,0.34
2005,WIN_SPR_PCOD_SPAWN_HABITAT,0.3
2006,WIN_SPR_PCOD_SPAWN_HABITAT,0.298
2007,WIN_SPR_PCOD_SPAWN_HABITAT,0.403
2008,WIN_SPR_PCOD_SPAWN_HABITAT,0.358
2009,WIN_SPR_PCOD_SPAWN_HABITAT,0.366
2010,WIN_SPR_PCOD_SPAWN_HABITAT,0.29
2011,WIN_SPR_PCOD_SPAWN_HABITAT,0.326
2012,WIN_SPR_PCOD_SPAWN_HABITAT,0.401
2013,WIN_SPR_PCOD_SPAWN_HABITAT,0.338
2014,WIN_SPR_PCOD_SPAWN_HABITAT,0.288
2015,WIN_SPR_PCOD_SPAWN_HABITAT,0.189
2016,WIN_SPR_PCOD_SPAWN_HABITAT,0.186
2017,WIN_SPR_PCOD_SPAWN_HABITAT,0.286
2018,WIN_SPR_PCOD_SPAWN_HABITAT,0.253
2019,WIN_SPR_PCOD_SPAWN_HABITAT,0.184
2020,WIN_SPR_PCOD_SPAWN_HABITAT,0.287
2021,WIN_SPR_PCOD_SPAWN_HABITAT,0.278
2022,WIN_SPR_PCOD_SPAWN_HABITAT,0.353
