"Year","Annual","Summer","Winter","Spawning"
1982,0,0,0,0
1983,31.877,16.6777,15.1993,4.73
1984,88.2076,45.1042,43.1034,0
1985,24.612,0,24.612,19.68
1986,16.3489,0,16.3489,0
1987,5.577,5.577,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,8.7174,8.7174,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,19.104,19.104,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,142.05,118.8108,23.2392,0
1998,150.8487,63.7965,87.0522,80.8089
1999,0,0,0,0
2000,0,0,0,0
2001,46.9135,23.5647,23.3488,11.3256
2002,51.2736,0,51.2736,0
2003,207.8493,56.3677,151.4816,108.1194
2004,117.6447,117.6447,0,0
2005,284.6038,280.8192,3.7846,0
2006,35.1361,29.3296,5.8065,0
2007,0,0,0,0
2008,0,0,0,0
2009,0,0,0,0
2010,6.522,6.522,0,0
2011,0,0,0,0
2012,0,0,0,0
2013,0,0,0,0
2014,283.015,177.573,105.442,0
2015,402.3217,199.9399,202.3818,133.281
2016,630.866,316.2972,314.5688,155.556
2017,53.0334,14.2578,38.7756,0
2018,128.4953,28.6097,99.8856,0
2019,496.7389,297.2547,199.4842,100.448
2020,146.4643,115.0861,31.3782,0
2021,15.3825,0,15.3825,10.706
2022,71.5901,71.5901,0,0
