Year,Trip Number,ADFG Number,Vessel Name,Sample Date,Port Code,Project Code,Groundfish Stat Area,Groundfish Stat Area Group,Groundfish Management Area Code,Sample Type Code,Sample Type,Specimen Number,Length Millimeters,Weight Kilograms,Age,Girth Millimeters,Species Code,Species,Length Type Code,Length Type,Age Readability Code,Age Readability,Sex Code,Maturity Code,Maturity
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,1,660,3.3,7,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,2,650,3.48,5,,110,Pacific cod,1,Tip of snout to fork of tail,3,Fairly Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,3,850,6.26,9,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,4,670,3.56,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,5,660,3.44,6,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,6,650,2.98,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,7,730,4.08,5,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,8,810,6.02,9,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,2,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,9,620,2.96,5,,110,Pacific cod,1,Tip of snout to fork of tail,1,Very Sure,1,3,Mature/developing
2021,4003,19741,AGILE,1/14/2021 0:00,JNU,602,,,NSEI,1,Random,10,570,2.2,5,,110,Pacific cod,1,Tip of snout to fork of tail,2,Comfortably Sure,1,3,Mature/developing
