year,discarded,retained,total
1991,1427.13,74873.39,76300.52
1992,3919.69,76827.45,80747.14
1993,5885.7,50601.8,56487.5
1994,3121.57,44363.08,47484.65
1995,3546.14,65439.13,68985.27
1996,7554.99,60724.9,68279.89
1997,4828.47,72341.87393746412,77170.34393746412
1998,1732.11,70892.61820253087,72624.72820253087
1999,1644.58,80897.97375374104,82542.55375374104
2000,1377.6699999999998,65173.765918465855,66551.43591846585
2001,1903.68,49626.68347469998,51530.36347469998
2002,3714.71,50922.65571848601,54637.365718486006
2003,2484.694,50096.839,52581.533
2004,1268.407,55355.191,56623.598
2005,1043.368,46541.043,47584.411
2006,1852.012,46045.04,47897.052
2007,1447.5829999999999,50813.322,52260.905
2008,3306.564,55707.423,59013.987
2009,3944.309,49251.957,53196.266
2010,3097.212051582,75495.7770903353,78592.989141917293
2011,2177.6726575472,83189.1385096931,85366.8111672403
2012,949.0036302431,76981.4333087063,77930.4369389494
2013,4559.9072429875,64015.9655581083,68575.8728010958
2014,5301.7716162742,79643.2500499858,84945.02166626
2015,1722.8534161204,77757.695992165,79480.5494082854
2016,867.5981423802,63186.9239872048,64054.522129585
2017,711.3096939471,48015.6268147611,48726.9365087082
2018,604.3105358338,14546.1056758402,15150.416211673999
2019,1194.1488747517,14521.6567730297,15715.805647781399
2020,1748.4113894194,5092.6189147863,6841.030304205699
2021,1407.3118851176,17768.610436212,19175.9223213296
2022,1574.7079748749,21643.2468387265,23217.9548136014
