"","x"
"1",3760.15
"2",3760.15
"3",3760.15
"4",3760.15
"5",3760.15
"6",63018.8
"7",3760.15
"8",3760.15
"9",3760.15
"10",3760.15
"11",3760.15
"12",3780.59
"13",6523.2
"14",3893.27
"15",3760.15
"16",3760.15
"17",3760.15
"18",3760.15
"19",3760.15
"20",3760.15
"21",3760.15
"22",3815.53
"23",3760.15
"24",3760.15
"25",3760.15
"26",89372.8
"27",3760.15
"28",3760.15
"29",3760.15
"30",3760.15
"31",3760.15
"32",3760.15
"33",3760.15
"34",3760.15
"35",60478.5
"36",3760.15
"37",3760.15
"38",3760.15
"39",3760.15
"40",3760.15
"41",3760.15
"42",3760.15
"43",3908.2
"44",3760.15
"45",77836.2
"46",3760.15
"47",3760.15
"48",3760.15
"49",3988.06
"50",3760.15
