"","replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","Label","Yr"
"64",446594,512880,568547,539705,594022,612601,597477,567463,614010,649106,676084,"Recr_Virgin",1975
"65",241373,284108,319307,300500,342282,363796,350448,327942,365168,390647,403070,"Recr_Initial",1976
"66",972692,1135020,1272540,1202100,1354300,1412880,1303910,1211920,1350900,1422400,1443710,"Recr_1977",1977
"67",488886,543799,557638,526351,568035,564240,551508,531425,583715,653177,721573,"Recr_1978",1978
"68",376657,426439,466625,446869,502956,518905,507112,481021,529611,575465,606107,"Recr_1979",1979
"69",502430,574022,647314,622615,715216,750900,713554,664167,737267,779688,792193,"Recr_1980",1980
"70",759091,855376,914696,868763,960636,973367,923818,875740,970534,1057640,1120230,"Recr_1981",1981
"71",719000,812671,890848,849449,962693,990757,945343,887266,986026,1061960,1090820,"Recr_1982",1982
"72",639826,709528,734078,689468,750071,751483,703473,671631,742622,817922,874098,"Recr_1983",1983
"73",534935,594206,647269,619205,695741,714409,690460,649261,710407,755211,761038,"Recr_1984",1984
"74",1066790,1173380,1224840,1156800,1247310,1250850,1164170,1097200,1198570,1273700,1307970,"Recr_1985",1985
"75",495826,541550,562968,535926,588620,595414,585678,559681,608735,671294,707666,"Recr_1986",1986
"76",638277,700693,739545,703208,768609,782058,739706,700042,765219,815461,832967,"Recr_1987",1987
"77",608955,666666,699566,665351,726511,735922,705329,671029,731726,791916,819323,"Recr_1988",1988
"78",660543,725753,769932,733561,804313,821300,779876,740998,808054,858567,874379,"Recr_1989",1989
"79",803454,880593,917057,869028,934729,944555,895717,855405,930015,992526,1021240,"Recr_1990",1990
"80",532514,583148,601403,569891,609797,615550,597453,573742,619567,668824,697547,"Recr_1991",1991
"81",486215,531549,550755,522840,557668,561779,542282,521357,563228,604065,627866,"Recr_1992",1992
"82",337422,368975,382017,363023,382056,386460,375130,358513,385217,408092,420801,"Recr_1993",1993
"83",365683,399456,427653,411714,443125,457012,447861,424644,455790,476596,477731,"Recr_1994",1994
"84",517349,562383,579072,549755,584667,586759,554638,533901,575799,612833,633694,"Recr_1995",1995
"85",331023,362053,382189,365822,396138,404929,394975,379138,407683,430864,438748,"Recr_1996",1996
"86",348296,378164,386144,365964,386029,385827,368451,355373,383319,411579,429870,"Recr_1997",1997
"87",265374,290147,304525,290460,312899,318554,307769,295442,319201,337563,343506,"Recr_1998",1998
"88",365182,398272,418906,400101,430591,437342,418829,400981,434822,459976,467501,"Recr_1999",1999
"89",441395,481514,498216,472049,501173,501522,474148,457729,499486,532585,547839,"Recr_2000",2000
"90",304510,328156,331592,314508,330092,324998,313616,306513,335515,368759,392027,"Recr_2001",2001
"91",203153,220270,228072,217254,232263,231829,224230,216874,236836,257429,267299,"Recr_2002",2002
"92",245769,265742,277444,264952,281963,282780,269437,258670,283223,308496,317508,"Recr_2003",2003
"93",289632,315794,329843,316016,342539,347205,328682,314050,335284,363205,372669,"Recr_2004",2004
"94",432521,470325,495187,475640,509077,516570,487097,463028,505536,552145,564380,"Recr_2005",2005
"95",667847,733576,761311,722091,765445,771314,698907,664107,711516,784280,833115,"Recr_2006",2006
"96",490053,533455,551078,528567,560241,565707,526128,497408,536184,629619,700293,"Recr_2007",2007
"97",655484,730554,760524,720306,764669,777423,673008,627348,656704,764905,845362,"Recr_2008",2008
"98",466035,516099,527477,504601,526937,537354,464089,429070,444940,538469,533035,"Recr_2009",2009
"99",504479,573554,602273,571007,608635,635867,517617,455670,463854,427061,501665,"Recr_2010",2010
"100",618923,710495,745784,715613,742963,772672,590807,594509,591714,433000,788496,"Recr_2011",2011
"101",1234650,1419000,1483410,1410030,1522730,1609170,1356140,1504620,1603250,1057840,619142,"Recr_2012",2012
"102",826650,958016,911853,865741,913003,1307090,1186820,645427,545358,595714,620472,"Recr_2013",2013
"103",293578,339162,315463,305359,323199,417967,396290,460223,575728,608635,633931,"Recr_2014",2014
"104",264396,282103,254974,240524,190961,158194,465308,543624,588216,621837,647681,"Recr_2015",2015
"105",274034,283411,266580,288647,308292,353169,584793,555415,600975,635325,661730,"Recr_2016",2016
"106",205640,218782,202766,273758,587672,612601,597477,567463,614010,649106,676084,"Recr_2017",2017
"107",161458,245635,559830,390506,594022,612601,597477,567463,614010,649106,676084,"Recr_2018",2018
"108",79058,145167,702586,539705,594022,612601,597477,567463,614010,649106,676084,"Recr_2019",2019
"109",216699,290025,568547,539705,594022,612601,597477,567463,614010,649106,676084,"Recr_2020",2020
"110",253735,512880,568547,539705,594022,612601,597477,567463,614010,649106,676084,"Recr_2021",2021
"111",446594,512880,568547,539705,594022,612601,597477,567463,614010,649106,676084,"Recr_2022",2022
