"","replist1","replist2","replist3","replist4","replist5","replist6","replist7","replist8","replist9","replist10","replist11","Label","Yr"
"1",377400,400810,439505,437843,439081,443073,426387,414697,415814,418007,423959,"SSB_Virgin",1975
"2",212179,237031,265658,259084,257486,266986,243573,230296,232587,239110,240532,"SSB_Initial",1976
"3",182848,214019,245388,234583,229613,239040,207110,190570,194446,205743,208623,"SSB_1977",1977
"4",205018,237100,269867,259246,254505,263712,231228,214079,218174,230530,234092,"SSB_1978",1978
"5",201277,231245,262325,252933,248884,257659,227585,211562,215346,227130,230856,"SSB_1979",1979
"6",197643,227296,257788,248549,244105,253028,222722,207101,210637,221664,225272,"SSB_1980",1980
"7",234416,271960,309998,297424,289750,298447,257184,237647,242201,256449,261868,"SSB_1981",1981
"8",281067,324449,369222,355011,345852,353895,304111,280809,286494,303865,311055,"SSB_1982",1982
"9",299258,341624,386593,373859,365105,371683,322011,298684,304446,322831,331605,"SSB_1983",1983
"10",304814,345635,390195,379158,371260,376830,327781,304700,310415,329409,339131,"SSB_1984",1984
"11",341751,383923,430478,419452,410845,414948,362744,338613,344795,366276,377939,"SSB_1985",1985
"12",396486,440542,489661,478093,468856,471337,415240,389600,396511,420970,433802,"SSB_1986",1986
"13",434336,477679,526366,514763,505419,506487,448544,422531,429679,454951,467393,"SSB_1987",1987
"14",445427,484783,529272,518106,508390,507400,451731,427300,433855,458302,469779,"SSB_1988",1988
"15",472075,508154,548898,537443,526259,522690,467832,443874,449808,473500,483913,"SSB_1989",1989
"16",478376,509695,545938,535651,525179,520504,469304,446254,451532,473420,482047,"SSB_1990",1990
"17",440865,466834,497695,489017,479679,474712,428831,407845,412533,432346,439639,"SSB_1991",1991
"18",403914,426159,452990,445370,437054,432406,390872,371675,376085,394407,400567,"SSB_1992",1992
"19",376131,396504,420897,413465,405464,401028,361689,343766,348121,365756,371461,"SSB_1993",1993
"20",382353,401917,424995,417347,409290,404768,366373,349155,353582,371024,376648,"SSB_1994",1994
"21",386127,403747,424680,417582,410052,405510,369956,354033,358217,374659,379990,"SSB_1995",1995
"22",347076,361643,379322,373387,367001,362691,332517,319019,322609,337195,342225,"SSB_1996",1996
"23",296239,307680,322073,317546,312562,308924,284244,273157,276117,288060,292079,"SSB_1997",1997
"24",247322,256656,268679,265181,261298,258495,238051,228747,231172,240943,243998,"SSB_1998",1998
"25",220645,229094,239905,236659,233055,230491,211979,203697,205826,214610,217467,"SSB_1999",1999
"26",193549,201473,211493,208384,205085,202749,185569,177997,180000,187916,190394,"SSB_2000",2000
"27",174287,181556,190573,187603,184519,182333,166805,160068,161974,169166,171493,"SSB_2001",2001
"28",164393,170976,179021,176213,173340,171258,157272,151382,153283,159835,162002,"SSB_2002",2002
"29",161715,168169,175753,172810,169884,167776,154493,149169,151315,157653,159777,"SSB_2003",2003
"30",163325,170098,177668,174215,170833,168178,154548,149546,152325,159065,161451,"SSB_2004",2004
"31",157068,163448,170553,166968,163344,159933,146584,142215,145676,152815,155593,"SSB_2005",2005
"32",142419,147610,153683,150555,147227,143412,131580,128086,131870,138956,141836,"SSB_2006",2006
"33",124594,128811,134011,131326,128325,124402,113730,110780,114641,121728,124508,"SSB_2007",2007
"34",114444,118704,123671,121074,118313,114518,103490,100446,103985,111616,114258,"SSB_2008",2008
"35",122872,128627,134417,131206,127895,124127,109880,105859,109266,118555,121436,"SSB_2009",2009
"36",161953,170468,178098,173513,168832,164589,143270,137443,140703,153207,157830,"SSB_2010",2010
"37",184922,196045,205395,199819,194155,189765,159978,151964,154545,171334,179190,"SSB_2011",2011
"38",198466,212513,223363,216838,210262,205924,164871,154015,154680,176786,188216,"SSB_2012",2012
"39",207728,224452,236321,229444,222588,219189,165355,151255,148977,174220,185144,"SSB_2013",2013
"40",216148,236006,248712,241630,234893,233420,163770,146178,140371,159743,174489,"SSB_2014",2014
"41",159879,169635,178384,174737,173287,167953,147344,128671,154535,139180,172803,"SSB_2015",2015
"42",133671,136552,143123,141461,144374,137792,174700,154542,247658,162176,186804,"SSB_2016",2016
"43",103142,99927.3,103408,103756,109172,107719,218185,171065,366288,207935,210498,"SSB_2017",2017
"44",88395.3,84099.2,85392.4,86341.2,90710.6,97480.9,240909,172584,403715,237887,236272,"SSB_2018",2018
"45",87600.1,82250.7,81071.2,82915.2,82993.8,91387.5,253262,189973,432768,279480,279500,"SSB_2019",2019
"46",89730.5,83611.1,80605.5,85964,85307.4,92663.8,264446,213256,440898,310166,312749,"SSB_2020",2020
"47",101929,97094.4,99547.5,110053,127325,134034,291204,249588,442897,338420,343602,"SSB_2021",2021
"48",100347,102563,141251,141552,182994,189341,313374,279153,434543,351880,355573,"SSB_2022",2022
"49",89468.8,101766,207865,185966,233922,241011,328750,298126,411638,355289,360487,"SSB_2023",2023
"50",79574.2,97816.8,210443,185594,211123,217539,262606,246009,297292,270778,273340,"SSB_2024",2024
"51",89787.5,122674,200274,185361,196226,202263,228505,217285,238978,226587,228053,"SSB_2025",2025
"52",115616,149174,192184,184855,188919,194979,212074,202558,211075,205347,206486,"SSB_2026",2026
"53",140122,162553,188348,184502,185899,192036,204542,195587,198403,195792,196855,"SSB_2027",2027
"54",152464,168125,186946,184354,184521,190743,201247,192431,192928,191715,192762,"SSB_2028",2028
"55",157895,170145,186411,184318,183946,190227,199895,191097,190645,190053,191095,"SSB_2029",2029
"56",160226,170968,186159,184292,183726,190039,199370,190564,189726,189404,190443,"SSB_2030",2030
"57",161157,171348,186074,184282,183647,189975,199173,190358,189366,189159,190196,"SSB_2031",2031
"58",161639,171468,186047,184278,183618,189953,199101,190280,189226,189067,190103,"SSB_2032",2032
"59",161804,171507,186037,184277,183609,189946,199074,190251,189173,189034,190069,"SSB_2033",2033
"60",161862,171520,186034,184277,183605,189943,199065,190241,189152,189021,190056,"SSB_2034",2034
"61",161884,171525,186033,184276,183604,189943,199061,190236,189144,189016,190051,"SSB_2035",2035
"62",161892,171527,186033,184276,183603,189942,199060,190235,189141,189015,190050,"SSB_2036",2036
"63",161895,171527,186033,184276,183603,189942,199060,190234,189139,189014,190049,"SSB_2037",2037
